Vážená paní předsedkyně metsolová,	Vážená paní předsedkyně Metsolová,
vážené poslankyně a váženi poslanci,	vážené poslankyně a vážení poslanci,
evropa se nachází uprostřed boje.	Evropa se nachází uprostřed boje.
Boje za kontinent který je celistvý a panuje v něm mír.	Boje za kontinent, který je celistvý a panuje v něm mír.
Za svobodný a nezávislou evropu.	Za svobodnou a nezávislou Evropu.
Boje za naše hodnoty a naše demokracii.	Boje za naše hodnoty a naše demokracie.
Boje za naši svobodu a pro a naši schopnost určovat svůj vlastní osud.	Boje za naši svobodu a naši schopnost určovat svůj vlastní osud.
Nenechme se mýlit ie to boj o naší budoucnost.	Nenechme se mýlit – je to boj o naši budoucnost.
Dlouho a usilovně jsem přeýšlela jesi tento projev o stavu unie zahájit tak silnými slovy.	Dlouho a usilovně jsem přemýšlela, zda tento projev o stavu Unie zahájit tak silnými slovy.
My evropané totiž nejsme zviklí – a ani nám to není příjemné – hovořit takovym spůsobem.	My Evropané totiž nejsme zvyklí – a ani nám to není příjemné – hovořit takovým způsobem.
Protože naše unie je v první řadě mírový projektem.	Protože naše Unie je v první řadě mírovým projektem.
Opravdou však je že, dnešní svět je ne úprosný.	Pravdou však je, že dnešní svět je neúprosný.
A nemůžeme zlehčovat obtíže které evropané každodeně pociťujou.	A nemůžeme zlehčovat obtíže, které Evropané každodenně pociťují.
